node	bin
NODE_629_length_26744_cov_16.437221	183
NODE_257_length_78118_cov_33.548723	183
NODE_255_length_79293_cov_15.308665	183
NODE_438_length_46342_cov_14.963078	183
NODE_116_length_143375_cov_15.244711	183
NODE_508_length_38605_cov_30.653645	183
NODE_806_length_12811_cov_34.339840	183
NODE_801_length_13189_cov_14.790772	183
NODE_803_length_13046_cov_14.442383	183
NODE_456_length_44668_cov_28.287965	183
NODE_615_length_28308_cov_15.317736	183
NODE_349_length_60890_cov_29.559990	183
NODE_84_length_176864_cov_15.100425	183
NODE_336_length_62460_cov_16.031151	183
NODE_139_length_125994_cov_15.916158	183
NODE_545_length_35359_cov_31.943661	183
NODE_797_length_13371_cov_15.176705	183
NODE_712_length_19434_cov_29.485784	183
NODE_235_length_86289_cov_15.395726	183
NODE_616_length_28157_cov_31.933457	183
NODE_541_length_35737_cov_29.996721	183
NODE_723_length_18431_cov_16.063507	183
NODE_483_length_41439_cov_29.387807	183
NODE_841_length_10790_cov_15.661574	183
NODE_256_length_78628_cov_15.187253	183
NODE_144_length_122608_cov_23.380317	183
NODE_47_length_240399_cov_15.509382	183
NODE_164_length_110644_cov_15.537947	183
NODE_850_length_10377_cov_27.222341	183
NODE_129_length_132049_cov_31.465461	183
NODE_299_length_69513_cov_28.753419	183
NODE_351_length_60797_cov_31.670557	183
NODE_244_length_83949_cov_15.123799	183
NODE_770_length_15096_cov_14.830796	183
NODE_714_length_19236_cov_30.630468	183
NODE_128_length_132279_cov_15.574941	183
NODE_845_length_10627_cov_28.577847	183
NODE_125_length_135830_cov_15.716826	183
NODE_136_length_128494_cov_15.563326	183
NODE_245_length_82956_cov_16.010410	183
NODE_134_length_129218_cov_29.026656	183
NODE_442_length_45928_cov_14.973688	183
NODE_302_length_68517_cov_15.068943	183
NODE_718_length_18699_cov_15.173890	183
NODE_259_length_77638_cov_15.442919	183
NODE_651_length_24090_cov_18.614895	183
NODE_628_length_26777_cov_14.786431	183
NODE_359_length_59886_cov_30.921295	183
NODE_470_length_43539_cov_15.471024	183
NODE_719_length_18697_cov_17.374960	183
NODE_434_length_47404_cov_15.506621	183
NODE_83_length_176967_cov_28.678292	183
NODE_440_length_46058_cov_15.346825	183
NODE_100_length_156092_cov_16.220134	183
NODE_283_length_72946_cov_18.731435	183
NODE_485_length_41089_cov_35.426500	183
